Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1
2020,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,37
2021,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,125
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,6
2021,Remaining,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,2152
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,29
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,2904
2020,Remaining,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,4
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,329
2022 (FYTD),FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,34
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,2
2021,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5932
2019,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,696
2019,Remaining,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1
2019,Remaining,MAR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2020,Remaining,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2020,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1456
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,56734
2022 (FYTD),Remaining,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,225
2020,Remaining,SEP,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1527
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,205
2022 (FYTD),FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,10
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2016
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,164
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,23567
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3781
2019,Remaining,MAR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,719
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,453
2021,Remaining,SEP,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1859
2020,Remaining,MAY,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,21
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,553
2022 (FYTD),FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,1
2021,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1903
2020,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2951
2021,Remaining,MAY,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1621
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,725
2021,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,9
2021,FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,48
2021,Remaining,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,27
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1072
2019,Remaining,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29
2020,Remaining,SEP,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1580
2019,Remaining,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1632
2020,Remaining,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,7
2020,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,644
2019,Remaining,MAY,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,547
2022 (FYTD),FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,10
2021,Remaining,MAR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15
2020,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,49
2019,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1148
2021,Remaining,MAY,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,8
2019,Remaining,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,5399
2020,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3045
2019,Remaining,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,278
2020,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,44
2021,Remaining,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1323
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1
2021,Remaining,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1186
2020,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,169
2022 (FYTD),Remaining,MAY,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,251
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29
2021,FYTD,NOV,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,57
2020,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,8
2021,Remaining,MAR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,44
2020,Remaining,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,23
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2654
2021,Remaining,SEP,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8627
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,56
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,1
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1469
2020,Remaining,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,92
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,50
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,714
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,272
2022 (FYTD),Remaining,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1566
2021,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,88
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,22285
2019,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,993
2020,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,807
2022 (FYTD),Remaining,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,45
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2851
2019,Remaining,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1371
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6
2019,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1508
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,74
2022 (FYTD),FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,19
2020,Remaining,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,36
2020,Remaining,MAR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,20
2022 (FYTD),FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,25
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,11
2019,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3818
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,439
2021,Remaining,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,4890
2019,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,449
2019,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,632
2021,Remaining,MAY,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1363
2020,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,94
2020,Remaining,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,61
2019,Remaining,AUG,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,42
2020,Remaining,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,16
2019,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,16004
2022 (FYTD),FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,322
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,11875
2020,Remaining,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1370
2019,Remaining,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,4954
2019,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,908
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,60348
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2488
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2704
2021,Remaining,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,11
2021,Remaining,SEP,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,37
2021,Remaining,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,936
2020,Remaining,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,4265
2020,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,23
2019,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,109
2021,Remaining,JUN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,264
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,1143
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,690
2021,Remaining,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,84
2021,Remaining,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1
2022 (FYTD),Remaining,APR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8
2021,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,19
2019,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2092
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1744
2022 (FYTD),Remaining,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,14937
2020,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,3
2022 (FYTD),FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,2
2021,Remaining,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,47789
2019,Remaining,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,80
2022 (FYTD),Remaining,MAY,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2552
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,6122
2022 (FYTD),FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,64
2021,Remaining,SEP,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,11
2022 (FYTD),FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,27
2022 (FYTD),FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,16
2020,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,513
2020,Remaining,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 42,Expulsions,1
2022 (FYTD),FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1303
2020,Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,5
2019,Remaining,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,657
2022 (FYTD),Remaining,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1844
2020,Remaining,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,
2020,Remaining,SEP,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18
2020,Remaining,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,130
2021,Remaining,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1138
2021,Remaining,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,606
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1729
2020,Remaining,MAY,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,15
2020,Remaining,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2759
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3
2021,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2278
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1207
2021,Remaining,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2011
2020,Remaining,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,
2020,Remaining,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,46
2022 (FYTD),FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,24
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,195
2020,Remaining,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,
2021,Remaining,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,5062
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,499
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,4044
2021,Remaining,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4
2020,Remaining,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,57
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,19
2021,Remaining,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,8
2020,Remaining,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,
2020,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1229
2021,Remaining,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,452
2021,Remaining,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,575
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,208
2021,Remaining,APR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,13663
2021,Remaining,JUN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,1
2021,Remaining,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1719
2022 (FYTD),Remaining,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1
2020,Remaining,JUL,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,52
2020,Remaining,MAR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,465
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,868
2022 (FYTD),FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,14
2020,Remaining,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,50
2019,Remaining,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,4970
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8112
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,13683
2021,Remaining,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,777
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,96
2019,Remaining,SEP,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,0
2021,Remaining,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,697
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3147
2019,Remaining,SEP,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,3409
2020,Remaining,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1565
2022 (FYTD),FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1519
2021,Remaining,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1652
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1133
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,241
2022 (FYTD),FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,17
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,291
2022 (FYTD),Remaining,MAY,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1784
2020,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,54
2021,Remaining,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8773
2021,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,514
2019,Remaining,MAY,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,81
2021,Remaining,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,27
2019,Remaining,APR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,7118
2022 (FYTD),FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,4
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,947
2019,Remaining,AUG,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,13
2019,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,103
2020,Remaining,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,657
2020,Remaining,SEP,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,18
2021,Remaining,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,559
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,899
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,122
2022 (FYTD),Remaining,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,2
2021,Remaining,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2918
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7889
2021,Remaining,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,29893
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,906
2019,Remaining,JUL,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,174
2020,Remaining,JUN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,666
2022 (FYTD),FYTD,NOV,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1170
2022 (FYTD),Remaining,JUN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,11
2019,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,901
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,283
2022 (FYTD),FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,13
2019,Remaining,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1151
2020,Remaining,MAY,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,8
2020,Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,492
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,198
2019,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,794
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,30
2020,Remaining,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3
2020,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2607
2021,Remaining,SEP,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,55
2019,Remaining,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,6
2019,Remaining,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,5864
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,180
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1770
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,49589
2019,Remaining,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,36
2019,Remaining,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,55
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,326
2022 (FYTD),FYTD,OCT,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,13
2019,Remaining,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,330
2021,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3619
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,184
2019,FYTD,NOV,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,195
2022 (FYTD),FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,107
2021,Remaining,JUL,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,39
2021,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5182
2019,Remaining,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81
2021,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,44159
2020,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,85
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,734
2020,Remaining,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,108
2021,Remaining,MAY,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8170
2019,Remaining,APR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,34
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,5
2020,Remaining,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,481
2020,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,928
2022 (FYTD),FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,72
2019,Remaining,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,189
2022 (FYTD),FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2012
2021,Remaining,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,7257
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1015
2021,Remaining,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,9
2021,Remaining,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,224
2021,Remaining,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,28
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,689
2021,Remaining,MAR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,11
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,609
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,790
2022 (FYTD),FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4
2019,Remaining,APR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,24336
2020,Remaining,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,1701
